contract_id,category,source,financial_harm,exploitability,immutability,automation,scope,financial_loss_usd,svtraf_score,cvss_score
CONTRACT_023,Coding Errors,OWASP Top 10,8.89,2.05,5.11,3.34,3.33,69234273.0,5.7396,3.1019
CONTRACT_024,Coding Errors,DeFiVulnLabs,4.16,3.71,1.68,1.75,5.35,27906166.0,3.6045,5.3957
CONTRACT_025,Coding Errors,DeFiHackLabs,4.91,8.8,9.62,2.01,4.98,74505034.0,6.4843,6.1158
CONTRACT_026,Coding Errors,Academic,3.18,8.98,2.67,7.81,4.47,49602819.0,5.1927,4.2019
CONTRACT_027,Coding Errors,DeFiVulnLabs,4.76,6.44,6.81,4.25,4.69,55560565.0,5.6498,4.3814
CONTRACT_028,Coding Errors,SWC Registry,2.65,4.59,2.42,6.43,4.82,43219880.0,3.9594,0.7229
CONTRACT_029,Coding Errors,Academic,7.07,5.75,0.9,6.68,3.92,55225859.0,5.379,6.2257
CONTRACT_030,Coding Errors,DeFiVulnLabs,8.87,4.28,2.2,5.69,6.86,58949043.0,5.9574,4.2908
CONTRACT_031,Coding Errors,DeFiHackLabs,7.16,3.22,6.91,3.09,7.62,53827799.0,5.9517,2.8874
CONTRACT_032,Coding Errors,DeFiVulnLabs,7.41,7.15,2.09,4.33,6.17,68617500.0,5.8278,7.1129
CONTRACT_033,Coding Errors,DeFiVulnLabs,3.4,8.88,5.17,2.09,7.98,42693998.0,5.5303,3.9858
CONTRACT_034,Coding Errors,OWASP Top 10,6.47,8.18,1.89,2.23,6.2,70511575.0,5.3981,6.8349
CONTRACT_035,Coding Errors,DeFiVulnLabs,8.85,4.83,8.88,6.81,7.61,71310892.0,7.8158,2.7751
CONTRACT_036,Coding Errors,Academic,9.19,6.25,0.09,0.81,5.98,75234019.0,5.1709,5.1904
CONTRACT_037,Coding Errors,DeFiVulnLabs,4.27,4.14,4.86,3.59,7.97,47771664.0,4.9652,2.1053
CONTRACT_038,Logical Flaws,OWASP Top 10,7.7,3.66,3.25,5.97,5.9,62364450.0,5.7131,5.7002
CONTRACT_039,Logical Flaws,Academic,7.26,5.98,0.94,2.94,3.59,53828080.0,4.9341,7.192
CONTRACT_040,Logical Flaws,DeFiHackLabs,5.89,8.34,4.34,2.8,5.87,64844662.0,5.8339,5.8149
CONTRACT_041,Logical Flaws,DeFiHackLabs,3.56,7.06,2.81,0.19,5.87,40529190.0,4.1766,5.769
CONTRACT_042,Logical Flaws,Academic,9.96,5.29,2.8,7.07,6.49,86095788.0,6.8486,5.4007
CONTRACT_043,Logical Flaws,Academic,9.43,5.0,9.67,7.71,7.12,91732017.0,8.3586,5.921
CONTRACT_044,Logical Flaws,SWC Registry,5.08,7.96,3.17,1.36,5.34,53948385.0,4.9955,4.9215
CONTRACT_045,Logical Flaws,OWASP Top 10,9.44,2.49,2.09,5.37,4.15,64351352.0,5.6586,2.0391
CONTRACT_046,Logical Flaws,Academic,4.36,4.26,8.49,1.09,6.25,51923789.0,5.1914,1.5368
CONTRACT_047,Logical Flaws,DeFiHackLabs,4.37,4.94,2.56,4.89,2.49,47102419.0,4.155,4.3183
CONTRACT_048,Logical Flaws,OWASP Top 10,7.02,3.36,0.71,3.17,2.3,39064681.0,4.2277,6.2158
CONTRACT_049,Logical Flaws,DeFiHackLabs,4.7,4.63,0.94,4.63,2.22,33695863.0,3.837,4.1119
CONTRACT_050,Logical Flaws,SWC Registry,3.24,8.87,8.39,6.88,3.5,67065162.0,6.0063,5.1762
CONTRACT_051,Logical Flaws,DeFiVulnLabs,8.58,4.52,1.27,4.18,6.62,64499258.0,5.4629,6.9058
CONTRACT_052,Logical Flaws,OWASP Top 10,9.72,5.2,8.42,1.56,4.47,82449961.0,7.2049,5.7454
CONTRACT_053,Logical Flaws,DeFiHackLabs,7.1,7.08,9.76,4.13,3.94,79342534.0,7.2255,5.9226
CONTRACT_054,Logical Flaws,DeFiHackLabs,5.19,5.03,7.44,2.01,3.11,59420489.0,5.1674,4.4456
CONTRACT_055,Logical Flaws,DeFiHackLabs,7.51,2.41,9.15,3.54,3.44,65889253.0,6.2061,3.2076
CONTRACT_056,Logical Flaws,Academic,7.28,3.96,9.55,5.9,5.33,69864700.0,6.9878,3.8032
CONTRACT_057,Logical Flaws,DeFiVulnLabs,5.36,3.73,3.56,6.06,2.09,52536247.0,4.6237,1.9202
CONTRACT_058,Logical Flaws,SWC Registry,2.37,2.29,8.55,5.63,4.85,35974836.0,4.4589,2.4512
CONTRACT_059,Logical Flaws,SWC Registry,8.11,7.65,3.46,3.72,5.9,74500013.0,6.3514,6.2929
CONTRACT_060,Logical Flaws,SWC Registry,6.93,6.45,0.45,3.0,5.76,44560374.0,4.9555,6.731
CONTRACT_061,Logical Flaws,SWC Registry,6.01,5.78,6.84,4.93,7.66,71750191.0,6.3773,4.396
CONTRACT_062,Logical Flaws,DeFiVulnLabs,2.21,6.1,9.4,4.6,4.33,53476974.0,5.0858,1.8547
CONTRACT_063,Logical Flaws,SWC Registry,3.03,7.68,8.21,5.01,6.92,57789439.0,6.0108,4.9325
CONTRACT_064,Logical Flaws,SWC Registry,3.65,3.92,2.15,3.02,2.23,42476486.0,3.315,5.011
CONTRACT_065,Logical Flaws,SWC Registry,7.46,2.5,3.19,6.76,2.14,70710504.0,5.2828,2.9674
CONTRACT_066,Logical Flaws,DeFiVulnLabs,4.09,5.47,6.93,2.79,7.62,58491912.0,5.4509,3.134
CONTRACT_067,Logical Flaws,OWASP Top 10,5.34,8.77,5.48,3.39,5.41,51379601.0,6.015,4.9523
CONTRACT_068,Logical Flaws,Academic,9.92,4.89,3.72,6.21,4.04,70623718.0,6.8343,4.2129
CONTRACT_069,Logical Flaws,DeFiHackLabs,3.91,6.76,7.4,1.91,4.27,49743846.0,5.1438,4.4435
CONTRACT_070,Logical Flaws,DeFiVulnLabs,6.04,7.79,3.2,7.16,4.34,64295396.0,6.0088,4.6173
CONTRACT_071,Logical Flaws,DeFiVulnLabs,9.67,7.93,3.55,7.65,6.06,88685198.0,7.5521,8.6198
CONTRACT_072,Logical Flaws,OWASP Top 10,6.59,6.42,4.48,2.35,3.97,56999866.0,5.4932,4.9994
CONTRACT_073,Logical Flaws,SWC Registry,3.7,8.62,7.81,0.91,7.59,57696959.0,5.8842,5.8595
CONTRACT_074,Logical Flaws,SWC Registry,2.46,5.85,4.42,7.1,4.11,38263603.0,4.4771,5.4638
CONTRACT_075,Access Control Weaknesses,Academic,9.75,6.82,8.37,6.93,7.03,89036346.0,8.3978,8.0372
CONTRACT_076,Access Control Weaknesses,OWASP Top 10,3.78,4.78,8.92,1.17,5.08,42178103.0,5.0229,3.4156
CONTRACT_077,Access Control Weaknesses,Academic,6.65,8.04,8.8,1.89,7.45,68384663.0,6.9912,6.5827
CONTRACT_078,Access Control Weaknesses,OWASP Top 10,8.03,4.63,0.84,6.22,5.35,53168238.0,5.4808,5.5231
CONTRACT_079,Access Control Weaknesses,SWC Registry,3.99,4.31,4.34,2.03,4.43,36120722.0,4.1171,3.2357
CONTRACT_080,Access Control Weaknesses,DeFiVulnLabs,7.93,7.37,8.23,5.95,6.09,89826261.0,7.6673,4.2388
CONTRACT_081,Access Control Weaknesses,SWC Registry,9.7,4.62,2.86,6.95,3.34,69933252.0,6.6056,5.8802
CONTRACT_082,Access Control Weaknesses,OWASP Top 10,2.1,8.79,0.43,7.13,5.17,56047542.0,4.3856,6.3853
CONTRACT_083,Access Control Weaknesses,DeFiHackLabs,9.35,3.77,6.95,0.6,3.0,77537084.0,6.2605,5.0551
CONTRACT_084,Access Control Weaknesses,DeFiHackLabs,7.57,5.18,6.28,4.67,7.41,71916701.0,6.5492,3.877
CONTRACT_085,Access Control Weaknesses,Academic,9.32,8.71,0.58,3.16,2.64,68286596.0,6.1364,7.0913
CONTRACT_086,Access Control Weaknesses,DeFiVulnLabs,4.22,3.32,4.64,2.83,5.5,47604977.0,4.3081,2.3156
CONTRACT_087,Access Control Weaknesses,Academic,4.88,3.82,4.53,0.26,3.68,40963594.0,4.0448,3.0889
CONTRACT_088,Access Control Weaknesses,SWC Registry,8.51,6.79,1.63,7.29,6.94,72849355.0,6.4696,7.4588
CONTRACT_089,Access Control Weaknesses,OWASP Top 10,5.33,6.07,9.19,0.66,7.26,79093879.0,6.0775,6.4601
CONTRACT_090,Access Control Weaknesses,DeFiHackLabs,2.36,2.18,3.76,6.48,7.92,31969786.0,4.1938,2.5726
CONTRACT_091,Access Control Weaknesses,DeFiHackLabs,5.01,7.25,3.93,6.63,5.41,65850563.0,5.7244,5.9438
CONTRACT_092,Access Control Weaknesses,DeFiHackLabs,5.75,4.9,2.73,0.45,7.19,43486680.0,4.5441,4.9918
CONTRACT_093,Access Control Weaknesses,SWC Registry,6.27,7.25,9.13,4.68,6.36,74111574.0,7.092,5.6669
CONTRACT_094,Access Control Weaknesses,Academic,8.8,3.73,4.51,1.03,7.72,77953025.0,5.664,4.3443
CONTRACT_095,Access Control Weaknesses,SWC Registry,3.66,8.15,7.57,0.38,3.61,50097339.0,5.0635,4.7297
CONTRACT_096,Access Control Weaknesses,DeFiVulnLabs,5.99,5.33,8.31,2.46,6.9,76256271.0,6.1682,4.4873
CONTRACT_097,Access Control Weaknesses,Academic,6.49,8.14,4.03,1.07,2.17,67115874.0,5.3811,8.7152
CONTRACT_098,Access Control Weaknesses,SWC Registry,6.96,6.93,2.13,1.09,2.09,54719314.0,4.9127,6.6466
CONTRACT_099,Access Control Weaknesses,DeFiHackLabs,6.72,4.75,4.37,7.23,4.09,67934942.0,5.8961,4.0506
CONTRACT_100,Access Control Weaknesses,DeFiVulnLabs,8.27,4.78,6.22,6.9,7.7,82222187.0,7.0236,4.3428
CONTRACT_101,Access Control Weaknesses,Academic,5.67,7.89,7.69,0.53,2.28,68914465.0,5.6961,4.9195
CONTRACT_102,Access Control Weaknesses,OWASP Top 10,4.78,3.46,5.8,2.73,5.22,38610439.0,4.7132,3.6054
CONTRACT_103,Access Control Weaknesses,OWASP Top 10,3.11,6.49,1.82,2.77,7.38,33043459.0,4.2955,4.8399
CONTRACT_104,Access Control Weaknesses,SWC Registry,6.12,8.81,6.02,1.79,6.93,65449907.0,6.3144,4.9105
CONTRACT_105,Access Control Weaknesses,SWC Registry,4.23,3.24,0.89,0.97,4.76,32347756.0,3.1973,3.4591
CONTRACT_106,Access Control Weaknesses,DeFiHackLabs,9.15,2.9,3.3,2.57,2.55,69641934.0,5.4531,3.4391
CONTRACT_107,Access Control Weaknesses,DeFiVulnLabs,7.5,5.58,1.57,3.02,2.02,60393854.0,5.0045,6.6634
CONTRACT_108,Access Control Weaknesses,SWC Registry,8.45,7.24,1.85,1.67,4.22,58450537.0,5.6374,6.436
CONTRACT_109,Access Control Weaknesses,OWASP Top 10,8.08,5.72,7.21,0.5,2.89,74609884.0,6.1859,7.2171
CONTRACT_110,Access Control Weaknesses,SWC Registry,7.71,8.27,5.12,4.26,2.64,79161968.0,6.6269,6.1263
CONTRACT_111,Access Control Weaknesses,DeFiHackLabs,4.83,4.78,1.05,5.9,3.09,48703880.0,4.2075,3.6163
CONTRACT_112,Access Control Weaknesses,DeFiHackLabs,8.73,2.62,5.35,1.87,4.06,73424940.0,5.6422,4.1279
CONTRACT_113,Economic Design Flaws,SWC Registry,7.43,7.52,4.98,2.7,5.22,75487752.0,6.2556,7.3036
CONTRACT_114,Economic Design Flaws,DeFiVulnLabs,6.46,6.11,5.64,5.03,4.02,68713701.0,6.0201,5.7272
CONTRACT_115,Economic Design Flaws,DeFiHackLabs,7.17,6.0,3.56,9.89,5.63,69636502.0,6.6377,3.879
CONTRACT_116,Economic Design Flaws,DeFiHackLabs,2.06,3.58,3.65,5.9,7.1,22363382.0,4.138,2.7264
CONTRACT_117,Economic Design Flaws,SWC Registry,2.64,5.67,4.1,9.86,2.67,48821635.0,4.532,3.8558
CONTRACT_118,Economic Design Flaws,OWASP Top 10,6.61,8.42,0.05,9.8,4.94,65959154.0,6.0917,5.9437
CONTRACT_119,Economic Design Flaws,Academic,8.57,7.03,5.35,5.81,7.03,81102784.0,7.1717,5.4675
CONTRACT_120,Economic Design Flaws,DeFiHackLabs,3.5,4.27,4.25,6.06,3.45,35596331.0,4.2908,5.2158
CONTRACT_121,Economic Design Flaws,OWASP Top 10,6.88,4.02,5.81,3.23,4.89,54901363.0,5.6034,3.6392
CONTRACT_122,Economic Design Flaws,SWC Registry,6.75,4.58,4.54,6.39,5.29,69917377.0,5.8825,3.411
CONTRACT_123,Economic Design Flaws,OWASP Top 10,4.58,7.67,2.55,7.45,6.56,54630127.0,5.6347,6.1559
CONTRACT_124,Economic Design Flaws,DeFiVulnLabs,5.79,6.24,7.94,2.85,7.1,69431175.0,6.2829,5.139
CONTRACT_125,Economic Design Flaws,OWASP Top 10,9.72,2.87,7.31,9.51,3.09,84982818.0,7.7262,4.1195
CONTRACT_126,Economic Design Flaws,Academic,9.41,7.05,0.48,8.25,6.97,76228007.0,6.6708,7.2776
CONTRACT_127,Economic Design Flaws,SWC Registry,3.61,3.15,1.64,8.52,5.99,45149554.0,4.3014,3.2447
CONTRACT_128,Economic Design Flaws,OWASP Top 10,9.26,4.21,5.88,7.46,4.71,76557818.0,7.1652,5.2141
CONTRACT_129,Economic Design Flaws,SWC Registry,6.99,5.78,4.39,6.62,4.13,67526755.0,6.1242,6.1269
CONTRACT_130,Economic Design Flaws,OWASP Top 10,6.35,8.35,6.24,2.94,7.64,66024234.0,6.5692,6.619
CONTRACT_131,Economic Design Flaws,OWASP Top 10,4.68,2.97,7.94,6.96,5.2,53571464.0,5.5928,2.2185
CONTRACT_132,Economic Design Flaws,DeFiVulnLabs,8.31,3.06,3.12,3.99,6.46,60565420.0,5.482,3.5282
CONTRACT_133,Economic Design Flaws,DeFiVulnLabs,6.56,7.34,8.77,4.74,6.93,76826978.0,7.1906,5.2351
CONTRACT_134,Economic Design Flaws,DeFiVulnLabs,5.66,6.23,5.02,6.32,4.92,58622983.0,5.8811,5.1854
CONTRACT_135,Economic Design Flaws,OWASP Top 10,7.78,7.04,6.41,7.55,5.26,87408490.0,7.3314,4.7868
CONTRACT_136,Economic Design Flaws,SWC Registry,6.79,7.79,9.59,4.74,3.36,73573716.0,7.2432,4.1021
CONTRACT_137,Economic Design Flaws,DeFiVulnLabs,9.58,3.07,5.86,6.05,5.67,76390357.0,6.8412,4.3721
CONTRACT_138,Economic Design Flaws,SWC Registry,6.74,2.72,9.19,8.32,2.14,68299305.0,6.5302,1.8456
CONTRACT_139,Economic Design Flaws,DeFiHackLabs,8.17,4.62,0.69,2.62,2.63,67834896.0,4.8382,2.5997
CONTRACT_140,Economic Design Flaws,DeFiHackLabs,9.4,5.16,1.13,9.88,7.03,76336928.0,6.7013,5.7867
CONTRACT_141,Economic Design Flaws,Academic,4.66,4.18,2.27,6.86,4.28,53223541.0,4.541,2.775
CONTRACT_142,Economic Design Flaws,DeFiHackLabs,4.68,7.62,0.05,4.67,4.39,37279054.0,4.5041,6.0003
CONTRACT_143,Economic Design Flaws,OWASP Top 10,8.91,8.46,4.66,5.85,7.51,84553139.0,7.4217,6.4748
CONTRACT_144,Economic Design Flaws,Academic,2.26,8.39,2.48,6.62,2.99,48627199.0,4.2909,3.9905
CONTRACT_145,Economic Design Flaws,Academic,9.32,4.54,5.81,7.06,2.08,80891225.0,7.1306,3.6455
CONTRACT_146,Economic Design Flaws,Academic,6.12,8.83,4.59,6.46,7.16,75962538.0,6.7054,5.9425
CONTRACT_147,Economic Design Flaws,OWASP Top 10,3.48,4.1,3.1,5.18,4.56,36608648.0,4.0826,2.8939
CONTRACT_148,Economic Design Flaws,OWASP Top 10,4.8,5.28,6.25,5.02,7.02,65418781.0,5.7178,3.2942
CONTRACT_149,Economic Design Flaws,SWC Registry,2.53,7.43,4.53,6.2,4.64,61125657.0,4.8231,4.4604
CONTRACT_150,Economic Design Flaws,OWASP Top 10,5.98,7.36,1.03,4.67,2.45,53139143.0,4.9238,3.9729
